experiment,scheme,power_model,pidle,pdyn,dynamic_carbon_usage,idle_carbon_usage,total_carbon_usage
1,dynamic_partition,model_6,0.6,0.4,8587792945.468225,37573643601.0,46161436546.46822
1,decima,model_6,0.6,0.4,5966052092.287982,37730209527.0,43696261619.28798
1,green_hadoop,model_6,0.6,0.4,8588251166.004077,37606150143.0,46194401309.004074
1,cap_fifo,model_6,0.6,0.4,5489854947.348114,38185798347.0,43675653294.348114
1,cap_partition,model_6,0.6,0.4,6241573716.168165,38189185740.0,44430759456.16817
1,cap_decima,model_6,0.6,0.4,5542330987.108045,38339443035.0,43881774022.10805
1,pcaps,model_6,0.6,0.4,4579352434.200012,37856848302.0,42436200736.20001
2,spark_fifo,model_6,0.6,0.4,7635001895.579992,36067469884.8,43702471780.38
2,dynamic_partition,model_6,0.6,0.4,7278635402.936016,36047561906.4,43326197309.33601
2,decima,model_6,0.6,0.4,5131642524.14009,36074047152.0,41205689676.14009
2,green_hadoop,model_6,0.6,0.4,7487474069.563909,36034524823.2,43521998892.76391
2,cap_fifo,model_6,0.6,0.4,4158492279.003955,36446073828.0,40604566107.00395
2,cap_partition,model_6,0.6,0.4,4953309294.784025,36337871910.0,41291181204.78403
2,cap_decima,model_6,0.6,0.4,4405169601.187998,36677599506.0,41082769107.187996
2,pcaps,model_6,0.6,0.4,3526141012.431967,36097772294.4,39623913306.83197
3,spark_fifo,model_6,0.6,0.4,8559087916.344073,33737014288.8,42296102205.14407
3,dynamic_partition,model_6,0.6,0.4,7712835163.284019,33547276800.0,41260111963.28402
3,decima,model_6,0.6,0.4,5456764664.712048,33184104480.0,38640869144.71205
3,green_hadoop,model_6,0.6,0.4,8226421687.152143,33754068633.6,41980490320.752144
3,cap_fifo,model_6,0.6,0.4,4647676221.6360035,33531330240.0,38179006461.636
3,cap_partition,model_6,0.6,0.4,6058305359.912163,34935254679.6,40993560039.51216
3,cap_decima,model_6,0.6,0.4,5054496946.692067,33469213920.0,38523710866.69207
3,pcaps,model_6,0.6,0.4,4097749057.3519645,33280512960.0,37378262017.35197
4,spark_fifo,model_6,0.6,0.4,8818652114.644,32628679680.0,41447331794.644
4,dynamic_partition,model_6,0.6,0.4,8488875400.672143,32633266080.0,41122141480.67214
4,decima,model_6,0.6,0.4,6422749310.1039295,32558025600.0,38980774910.10393
4,green_hadoop,model_6,0.6,0.4,8753970508.35203,32621929440.0,41375899948.35203
4,cap_fifo,model_6,0.6,0.4,5336188600.640003,33061047840.0,38397236440.64
4,cap_partition,model_6,0.6,0.4,6152688941.696102,33298247040.0,39450935981.696106
4,cap_decima,model_6,0.6,0.4,5954800260.511936,32520887520.0,38475687780.51193
4,pcaps,model_6,0.6,0.4,4565848598.636027,32639451840.0,37205300438.636024
5,spark_fifo,model_6,0.6,0.4,8437959601.063881,34326558018.0,42764517619.06388
5,dynamic_partition,model_6,0.6,0.4,7852262159.407938,34324034400.0,42176296559.407936
5,decima,model_6,0.6,0.4,5325986995.195963,34569250376.4,39895237371.59596
5,green_hadoop,model_6,0.6,0.4,7844974399.36399,34309928703.6,42154903102.96399
5,cap_fifo,model_6,0.6,0.4,4773124965.007956,34753501054.8,39526626019.80796
5,cap_partition,model_6,0.6,0.4,5364125224.391954,34711024579.2,40075149803.59195
5,cap_decima,model_6,0.6,0.4,5119535124.051981,34640894563.2,39760429687.251976
5,pcaps,model_6,0.6,0.4,3757085611.7759295,34443281991.6,38200367603.37593
1,spark_fifo,model_7,0.7,0.30000000000000004,6595516296.804083,43834721070.0,50430237366.804085
1,dynamic_partition,model_7,0.7,0.30000000000000004,6440844709.100932,43835917534.5,50276762243.60093
1,decima,model_7,0.7,0.30000000000000004,4474539069.216152,44018577781.5,48493116850.716156
1,green_hadoop,model_7,0.7,0.30000000000000004,6441188374.503008,43873841833.5,50315030208.003006
1,cap_fifo,model_7,0.7,0.30000000000000004,4117391210.5109806,44550098071.5,48667489282.01098
1,cap_partition,model_7,0.7,0.30000000000000004,4681180287.126113,44554050030.0,49235230317.126114
1,cap_decima,model_7,0.7,0.30000000000000004,4156748240.3309913,44729350207.5,48886098447.83099
1,pcaps,model_7,0.7,0.30000000000000004,3434514325.650118,44166323019.0,47600837344.650116
2,spark_fifo,model_7,0.7,0.30000000000000004,5726251421.684956,42078714865.6,47804966287.28496
2,dynamic_partition,model_7,0.7,0.30000000000000004,5458976552.202134,42055488890.8,47514465443.00214
2,decima,model_7,0.7,0.30000000000000004,3848731893.1051464,42086388344.0,45935120237.10515
2,green_hadoop,model_7,0.7,0.30000000000000004,5615605552.172934,42040278960.4,47655884512.57294
2,cap_fifo,model_7,0.7,0.30000000000000004,3118869209.2530823,42520419466.0,45639288675.25308
2,cap_partition,model_7,0.7,0.30000000000000004,3714981971.0881634,42394183895.0,46109165866.088165
2,cap_decima,model_7,0.7,0.30000000000000004,3303877200.891169,42790532757.0,46094409957.89117
2,pcaps,model_7,0.7,0.30000000000000004,2644605759.324016,42114067676.8,44758673436.124016
3,spark_fifo,model_7,0.7,0.30000000000000004,6419315937.258054,39359850003.6,45779165940.858055
3,dynamic_partition,model_7,0.7,0.30000000000000004,5784626372.463002,39138489600.0,44923115972.463005
3,decima,model_7,0.7,0.30000000000000004,4092573498.5341306,38714788560.0,42807362058.534134
3,green_hadoop,model_7,0.7,0.30000000000000004,6169816265.363895,39379746739.2,45549563004.56389
3,cap_fifo,model_7,0.7,0.30000000000000004,3485757166.2271957,39119885280.0,42605642446.227196
3,cap_partition,model_7,0.7,0.30000000000000004,4543729019.9341345,40757797126.2,45301526146.13413
3,cap_decima,model_7,0.7,0.30000000000000004,3790872710.0190887,39047416240.0,42838288950.01909
3,pcaps,model_7,0.7,0.30000000000000004,3073311793.014032,38827265120.0,41900576913.01403
4,spark_fifo,model_7,0.7,0.30000000000000004,6613989085.98317,38066792960.0,44680782045.98317
4,dynamic_partition,model_7,0.7,0.30000000000000004,6366656550.504075,38072143760.0,44438800310.504074
4,decima,model_7,0.7,0.30000000000000004,4817061982.57817,37984363200.0,42801425182.57817
4,green_hadoop,model_7,0.7,0.30000000000000004,6565477881.264132,38058917680.0,44624395561.26413
4,cap_fifo,model_7,0.7,0.30000000000000004,4002141450.4800534,38571222480.0,42573363930.48006
4,cap_partition,model_7,0.7,0.30000000000000004,4614516706.272197,38847954880.0,43462471586.272194
4,cap_decima,model_7,0.7,0.30000000000000004,4466100195.384191,37941035440.0,42407135635.38419
4,pcaps,model_7,0.7,0.30000000000000004,3424386448.977129,38079360480.0,41503746928.97713
5,spark_fifo,model_7,0.7,0.30000000000000004,6328469700.797967,40047651021.0,46376120721.797966
5,dynamic_partition,model_7,0.7,0.30000000000000004,5889196619.555946,40044706800.0,45933903419.55595
