Submeasurements | avg. watts @ 100%,Submeasurements | avg. watts @ active idle,P_idle_W,P_dyn_W,P_peak_W,ratio_Pidle_Ppeak,ratio_Pidle_Ppeak_percent,ratio_Pdyn_Ppeak,ratio_Pdyn_Ppeak_percent
2507,1048,1048.000000,1459.000000,2507.000000,0.418030,41.802952,0.581970,58.197048
274,114,114.000000,160.000000,274.000000,0.416058,41.605839,0.583942,58.394161
196,81.4,81.400000,114.600000,196.000000,0.415306,41.530612,0.584694,58.469388
301,125,125.000000,176.000000,301.000000,0.415282,41.528239,0.584718,58.471761
1687,700,700.000000,987.000000,1687.000000,0.414938,41.493776,0.585062,58.506224
172,71.2,71.200000,100.800000,172.000000,0.413953,41.395349,0.586047,58.604651
464,191,191.000000,273.000000,464.000000,0.411638,41.163793,0.588362,58.836207
652,267,267.000000,385.000000,652.000000,0.409509,40.950920,0.590491,59.049080
1281,524,524.000000,757.000000,1281.000000,0.409055,40.905543,0.590945,59.094457
60.9,24.8,24.800000,36.100000,60.900000,0.407225,40.722496,0.592775,59.277504
169,68.8,68.800000,100.200000,169.000000,0.407101,40.710059,0.592899,59.289941
246,99.5,99.500000,146.500000,246.000000,0.404472,40.447154,0.595528,59.552846
293,118,118.000000,175.000000,293.000000,0.402730,40.273038,0.597270,59.726962
190,76.5,76.500000,113.500000,190.000000,0.402632,40.263158,0.597368,59.736842
932,374,374.000000,558.000000,932.000000,0.401288,40.128755,0.598712,59.871245
902,360,360.000000,542.000000,902.000000,0.399113,39.911308,0.600887,60.088692
272,108,108.000000,164.000000,272.000000,0.397059,39.705882,0.602941,60.294118
135,53.3,53.300000,81.700000,135.000000,0.394815,39.481481,0.605185,60.518519
115,45.4,45.400000,69.600000,115.000000,0.394783,39.478261,0.605217,60.521739
659,260,260.000000,399.000000,659.000000,0.394537,39.453718,0.605463,60.546282
118,46.5,46.500000,71.500000,118.000000,0.394068,39.406780,0.605932,60.593220
1721,678,678.000000,1043.000000,1721.000000,0.393957,39.395700,0.606043,60.604300
176,69.1,69.100000,106.900000,176.000000,0.392614,39.261364,0.607386,60.738636
112,43.5,43.500000,68.500000,112.000000,0.388393,38.839286,0.611607,61.160714
118,45.8,45.800000,72.200000,118.000000,0.388136,38.813559,0.611864,61.186441
289,112,112.000000,177.000000,289.000000,0.387543,38.754325,0.612457,61.245675
423,163,163.000000,260.000000,423.000000,0.385343,38.534279,0.614657,61.465721
584,225,225.000000,359.000000,584.000000,0.385274,38.527397,0.614726,61.472603
140,53.9,53.900000,86.100000,140.000000,0.385000,38.500000,0.615000,61.500000
63.2,24.3,24.300000,38.900000,63.200000,0.384494,38.449367,0.615506,61.550633
629,239,239.000000,390.000000,629.000000,0.379968,37.996820,0.620032,62.003180
119,45,45.000000,74.000000,119.000000,0.378151,37.815126,0.621849,62.184874
139,52.4,52.400000,86.600000,139.000000,0.376978,37.697842,0.623022,62.302158
136,51.2,51.200000,84.800000,136.000000,0.376471,37.647059,0.623529,62.352941
137,51.5,51.500000,85.500000,137.000000,0.375912,37.591241,0.624088,62.408759
386,145,145.000000,241.000000,386.000000,0.375648,37.564767,0.624352,62.435233
134,50.3,50.300000,83.700000,134.000000,0.375373,37.537313,0.624627,62.462687
5637,2115,2115.000000,3522.000000,5637.000000,0.375200,37.519957,0.624800,62.480043
113,42.3,42.300000,70.700000,113.000000,0.374336,37.433628,0.625664,62.566372
115,43,43.000000,72.000000,115.000000,0.373913,37.391304,0.626087,62.608696
271,101,101.000000,170.000000,271.000000,0.372694,37.269373,0.627306,62.730627
58,21.5,21.500000,36.500000,58.000000,0.370690,37.068966,0.629310,62.931034
278,103,103.000000,175.000000,278.000000,0.370504,37.050360,0.629496,62.949640
629,232,232.000000,397.000000,629.000000,0.368839,36.883943,0.631161,63.116057
218,80.4,80.400000,137.600000,218.000000,0.368807,36.880734,0.631193,63.119266
113,41.6,41.600000,71.400000,113.000000,0.368142,36.814159,0.631858,63.185841
386,142,142.000000,244.000000,386.000000,0.367876,36.787565,0.632124,63.212435
283,104,104.000000,179.000000,283.000000,0.367491,36.749117,0.632509,63.250883
524,192,192.000000,332.000000,524.000000,0.366412,36.641221,0.633588,63.358779
180,65.8,65.800000,114.200000,180.000000,0.365556,36.555556,0.634444,63.444444
179,65.4,65.400000,113.600000,179.000000,0.365363,36.536313,0.634637,63.463687
172,62.8,62.800000,109.200000,172.000000,0.365116,36.511628,0.634884,63.488372
176,64.1,64.100000,111.900000,176.000000,0.364205,36.420455,0.635795,63.579545
245,88.4,88.400000,156.600000,245.000000,0.360816,36.081633,0.639184,63.918367
279,100,100.000000,179.000000,279.000000,0.358423,35.842294,0.641577,64.157706
262,93.6,93.600000,168.400000,262.000000,0.357252,35.725191,0.642748,64.274809
561,200,200.000000,361.000000,561.000000,0.356506,35.650624,0.643494,64.349376
304,108,108.000000,196.000000,304.000000,0.355263,35.526316,0.644737,64.473684
45.1,15.9,15.900000,29.200000,45.100000,0.352550,35.254989,0.647450,64.745011
724,255,255.000000,469.000000,724.000000,0.352210,35.220994,0.647790,64.779006
124,43.5,43.500000,80.500000,124.000000,0.350806,35.080645,0.649194,64.919355
557,195,195.000000,362.000000,557.000000,0.350090,35.008977,0.649910,64.991023
487,170,170.000000,317.000000,487.000000,0.349076,34.907598,0.650924,65.092402
487,170,170.000000,317.000000,487.000000,0.349076,34.907598,0.650924,65.092402
172,60,60.000000,112.000000,172.000000,0.348837,34.883721,0.651163,65.116279
359,125,125.000000,234.000000,359.000000,0.348189,34.818942,0.651811,65.181058
748,260,260.000000,488.000000,748.000000,0.347594,34.759358,0.652406,65.240642
231,79.5,79.500000,151.500000,231.000000,0.344156,34.415584,0.655844,65.584416
261,89.8,89.800000,171.200000,261.000000,0.344061,34.406130,0.655939,65.593870
597,205,205.000000,392.000000,597.000000,0.343384,34.338358,0.656616,65.661642
729,250,250.000000,479.000000,729.000000,0.342936,34.293553,0.657064,65.706447
596,204,204.000000,392.000000,596.000000,0.342282,34.228188,0.657718,65.771812
211,72.2,72.200000,138.800000,211.000000,0.342180,34.218009,0.657820,65.781991
230,78.7,78.700000,151.300000,230.000000,0.342174,34.217391,0.657826,65.782609
629,215,215.000000,414.000000,629.000000,0.341812,34.181240,0.658188,65.818760
55.3,18.9,18.900000,36.400000,55.300000,0.341772,34.177215,0.658228,65.822785
210,71.7,71.700000,138.300000,210.000000,0.341429,34.142857,0.658571,65.857143
47.2,16.1,16.100000,31.100000,47.200000,0.341102,34.110169,0.658898,65.889831
181,61.7,61.700000,119.300000,181.000000,0.340884,34.088398,0.659116,65.911602
187,63.7,63.700000,123.300000,187.000000,0.340642,34.064171,0.659358,65.935829
171,58.2,58.200000,112.800000,171.000000,0.340351,34.035088,0.659649,65.964912
257,87.4,87.400000,169.600000,257.000000,0.340078,34.007782,0.659922,65.992218
1480,502,502.000000,978.000000,1480.000000,0.339189,33.918919,0.660811,66.081081
156,52.7,52.700000,103.300000,156.000000,0.337821,33.782051,0.662179,66.217949
581,196,196.000000,385.000000,581.000000,0.337349,33.734940,0.662651,66.265060
216,72.7,72.700000,143.300000,216.000000,0.336574,33.657407,0.663426,66.342593
748,251,251.000000,497.000000,748.000000,0.335561,33.556150,0.664439,66.443850
307,103,103.000000,204.000000,307.000000,0.335505,33.550489,0.664495,66.449511
169,56.7,56.700000,112.300000,169.000000,0.335503,33.550296,0.664497,66.449704
47.7,16,16.000000,31.700000,47.700000,0.335430,33.542977,0.664570,66.457023
331,111,111.000000,220.000000,331.000000,0.335347,33.534743,0.664653,66.465257
277,92.5,92.500000,184.500000,277.000000,0.333935,33.393502,0.666065,66.606498
244,81.4,81.400000,162.600000,244.000000,0.333607,33.360656,0.666393,66.639344
186,62,62.000000,124.000000,186.000000,0.333333,33.333333,0.666667,66.666667
236,78.5,78.500000,157.500000,236.000000,0.332627,33.262712,0.667373,66.737288
347,115,115.000000,232.000000,347.000000,0.331412,33.141210,0.668588,66.858790
255,84.3,84.300000,170.700000,255.000000,0.330588,33.058824,0.669412,66.941176
213,70.3,70.300000,142.700000,213.000000,0.330047,33.004695,0.669953,66.995305
295,97.3,97.300000,197.700000,295.000000,0.329831,32.983051,0.670169,67.016949
114,37.6,37.600000,76.400000,114.000000,0.329825,32.982456,0.670175,67.017544
255,83.5,83.500000,171.500000,255.000000,0.327451,32.745098,0.672549,67.254902
3995,1308,1308.000000,2687.000000,3995.000000,0.327409,32.740926,0.672591,67.259074
246,80.4,80.400000,165.600000,246.000000,0.326829,32.682927,0.673171,67.317073
172,56.2,56.200000,115.800000,172.000000,0.326744,32.674419,0.673256,67.325581
259,84.6,84.600000,174.400000,259.000000,0.326641,32.664093,0.673359,67.335907
100,32.6,32.600000,67.400000,100.000000,0.326000,32.600000,0.674000,67.400000
170,55.3,55.300000,114.700000,170.000000,0.325294,32.529412,0.674706,67.470588
58.5,19,19.000000,39.500000,58.500000,0.324786,32.478632,0.675214,67.521368
303,98.4,98.400000,204.600000,303.000000,0.324752,32.475248,0.675248,67.524752
161,52.2,52.200000,108.800000,161.000000,0.324224,32.422360,0.675776,67.577640
1280,415,415.000000,865.000000,1280.000000,0.324219,32.421875,0.675781,67.578125
307,99.5,99.500000,207.500000,307.000000,0.324104,32.410423,0.675896,67.589577
571,185,185.000000,386.000000,571.000000,0.323993,32.399299,0.676007,67.600701
167,54,54.000000,113.000000,167.000000,0.323353,32.335329,0.676647,67.664671
178,57.5,57.500000,120.500000,178.000000,0.323034,32.303371,0.676966,67.696629
304,98.2,98.200000,205.800000,304.000000,0.323026,32.302632,0.676974,67.697368
296,95.5,95.500000,200.500000,296.000000,0.322635,32.263514,0.677365,67.736486
254,81.9,81.900000,172.100000,254.000000,0.322441,32.244094,0.677559,67.755906
59.5,19.1,19.100000,40.400000,59.500000,0.321008,32.100840,0.678992,67.899160
689,221,221.000000,468.000000,689.000000,0.320755,32.075472,0.679245,67.924528
296,94.9,94.900000,201.100000,296.000000,0.320608,32.060811,0.679392,67.939189
224,71.8,71.800000,152.200000,224.000000,0.320536,32.053571,0.679464,67.946429
250,80.1,80.100000,169.900000,250.000000,0.320400,32.040000,0.679600,67.960000
259,82.9,82.900000,176.100000,259.000000,0.320077,32.007722,0.679923,67.992278
325,104,104.000000,221.000000,325.000000,0.320000,32.000000,0.680000,68.000000
186,59.5,59.500000,126.500000,186.000000,0.319892,31.989247,0.680108,68.010753
251,80.2,80.200000,170.800000,251.000000,0.319522,31.952191,0.680478,68.047809
124,39.6,39.600000,84.400000,124.000000,0.319355,31.935484,0.680645,68.064516
736,235,235.000000,501.000000,736.000000,0.319293,31.929348,0.680707,68.070652
680,217,217.000000,463.000000,680.000000,0.319118,31.911765,0.680882,68.088235
237,75.6,75.600000,161.400000,237.000000,0.318987,31.898734,0.681013,68.101266
696,222,222.000000,474.000000,696.000000,0.318966,31.896552,0.681034,68.103448
245,77.9,77.900000,167.100000,245.000000,0.317959,31.795918,0.682041,68.204082
223,70.9,70.900000,152.100000,223.000000,0.317937,31.793722,0.682063,68.206278
273,86.7,86.700000,186.300000,273.000000,0.317582,31.758242,0.682418,68.241758
236,74.8,74.800000,161.200000,236.000000,0.316949,31.694915,0.683051,68.305085
273,86.5,86.500000,186.500000,273.000000,0.316850,31.684982,0.683150,68.315018
125,39.6,39.600000,85.400000,125.000000,0.316800,31.680000,0.683200,68.320000
236,74.7,74.700000,161.300000,236.000000,0.316525,31.652542,0.683475,68.347458
243,76.8,76.800000,166.200000,243.000000,0.316049,31.604938,0.683951,68.395062
200,63.1,63.100000,136.900000,200.000000,0.315500,31.550000,0.684500,68.450000
4046,1274,1274.000000,2772.000000,4046.000000,0.314879,31.487889,0.685121,68.512111
242,76.2,76.200000,165.800000,242.000000,0.314876,31.487603,0.685124,68.512397
299,94.1,94.100000,204.900000,299.000000,0.314716,31.471572,0.685284,68.528428
224,70.3,70.300000,153.700000,224.000000,0.313839,31.383929,0.686161,68.616071
53.6,16.8,16.800000,36.800000,53.600000,0.313433,31.343284,0.686567,68.656716
687,215,215.000000,472.000000,687.000000,0.312955,31.295488,0.687045,68.704512
297,92.9,92.900000,204.100000,297.000000,0.312795,31.279461,0.687205,68.720539
172,53.6,53.600000,118.400000,172.000000,0.311628,31.162791,0.688372,68.837209
501,156,156.000000,345.000000,501.000000,0.311377,31.137725,0.688623,68.862275
57.2,17.8,17.800000,39.400000,57.200000,0.311189,31.118881,0.688811,68.881119
421,131,131.000000,290.000000,421.000000,0.311164,31.116390,0.688836,68.883610
164,51,51.000000,113.000000,164.000000,0.310976,31.097561,0.689024,68.902439
286,88.9,88.900000,197.100000,286.000000,0.310839,31.083916,0.689161,68.916084
367,114,114.000000,253.000000,367.000000,0.310627,31.062670,0.689373,68.937330
258,80.1,80.100000,177.900000,258.000000,0.310465,31.046512,0.689535,68.953488
719,223,223.000000,496.000000,719.000000,0.310153,31.015299,0.689847,68.984701
290,89.8,89.800000,200.200000,290.000000,0.309655,30.965517,0.690345,69.034483
307,94.9,94.900000,212.100000,307.000000,0.309121,30.912052,0.690879,69.087948
2169,669,669.000000,1500.000000,2169.000000,0.308437,30.843707,0.691563,69.156293
331,102,102.000000,229.000000,331.000000,0.308157,30.815710,0.691843,69.184290
257,79,79.000000,178.000000,257.000000,0.307393,30.739300,0.692607,69.260700
272,83.6,83.600000,188.400000,272.000000,0.307353,30.735294,0.692647,69.264706
218,67,67.000000,151.000000,218.000000,0.307339,30.733945,0.692661,69.266055
178,54.6,54.600000,123.400000,178.000000,0.306742,30.674157,0.693258,69.325843
325,99.6,99.600000,225.400000,325.000000,0.306462,30.646154,0.693538,69.353846
236,72.2,72.200000,163.800000,236.000000,0.305932,30.593220,0.694068,69.406780
237,72.5,72.500000,164.500000,237.000000,0.305907,30.590717,0.694093,69.409283
5547,1696,1696.000000,3851.000000,5547.000000,0.305751,30.575086,0.694249,69.424914
307,93.8,93.800000,213.200000,307.000000,0.305537,30.553746,0.694463,69.446254
257,78.4,78.400000,178.600000,257.000000,0.305058,30.505837,0.694942,69.494163
243,74.1,74.100000,168.900000,243.000000,0.304938,30.493827,0.695062,69.506173
